artwork_id,object_id,title,artist,type,image_url,thumbnail_url
0472888368,379284,Thales Enthralled - I,"Olitski, Jules b. 1922",Painting,https://api.collectorsystems.com/11184/objects/379284/mainimage,https://api.collectorsystems.com/11184/objects/379284/mainimage?size=detail
5449106432,379286,A Tale of Two Tables: Brother + Sister Tables,"Otterson, Joel",Installation,https://api.collectorsystems.com/11184/objects/379286/mainimage,https://api.collectorsystems.com/11184/objects/379286/mainimage?size=detail
0599734352,379287,Anvil,"Oursler, Tony b. 1957",Video  installation,https://api.collectorsystems.com/11184/objects/379287/mainimage,https://api.collectorsystems.com/11184/objects/379287/mainimage?size=detail
6187019074,379288,Pandemoniac Junk Shop of Feeling,"Salle, David b. 1952",Painting,https://api.collectorsystems.com/11184/objects/379288/mainimage,https://api.collectorsystems.com/11184/objects/379288/mainimage?size=detail
2345131280,379289,Wand (Mural),"Demand, Thomas b. 1964",Photographs,https://api.collectorsystems.com/11184/objects/379289/mainimage,https://api.collectorsystems.com/11184/objects/379289/mainimage?size=detail
1906915605,379290,Pavane,"Salle, David b. 1952",Painting,https://api.collectorsystems.com/11184/objects/379290/mainimage,https://api.collectorsystems.com/11184/objects/379290/mainimage?size=detail
1953131246,379291,Sterotropic,"Salle, David b. 1952",Painting,https://api.collectorsystems.com/11184/objects/379291/mainimage,https://api.collectorsystems.com/11184/objects/379291/mainimage?size=detail
1169878257,379293,Excuse Us That�s The Way We Are,Salome,Painting,https://api.collectorsystems.com/11184/objects/379293/mainimage,https://api.collectorsystems.com/11184/objects/379293/mainimage?size=detail
2158421900,379294,Head #185,"Samaras, Lucas b. 1936",Work on paper,https://api.collectorsystems.com/11184/objects/379294/mainimage,https://api.collectorsystems.com/11184/objects/379294/mainimage?size=detail
5303065623,379295,Reconstruction #59,"Samaras, Lucas b. 1936",Installation,https://api.collectorsystems.com/11184/objects/379295/mainimage,https://api.collectorsystems.com/11184/objects/379295/mainimage?size=detail
6861100323,379296,Untitled,"Samaras, Lucas b. 1936",Work on paper,https://api.collectorsystems.com/11184/objects/379296/mainimage,https://api.collectorsystems.com/11184/objects/379296/mainimage?size=detail
3057352983,379297,Untitled,"Samaras, Lucas b. 1936",Work on paper,https://api.collectorsystems.com/11184/objects/379297/mainimage,https://api.collectorsystems.com/11184/objects/379297/mainimage?size=detail
6307580675,379298,Untitled,"Samaras, Lucas b. 1936",Work on paper,https://api.collectorsystems.com/11184/objects/379298/mainimage,https://api.collectorsystems.com/11184/objects/379298/mainimage?size=detail
1588403881,379300,A Baroque Sculpture,"Scanga, Italo b. 1932",Work on paper,https://api.collectorsystems.com/11184/objects/379300/mainimage,https://api.collectorsystems.com/11184/objects/379300/mainimage?size=detail
5501104286,379302,One,"Trockel, Rosemarie & Casten Holler b. 1952 / b.1961",Work on paper,https://api.collectorsystems.com/11184/objects/379302/mainimage,https://api.collectorsystems.com/11184/objects/379302/mainimage?size=detail
5628178980,379303,"Antonio Rafael Balzano, Tone E. ch. Johansen","Tronvoll, Mette b.1965",Photographs,https://api.collectorsystems.com/11184/objects/379303/mainimage,https://api.collectorsystems.com/11184/objects/379303/mainimage?size=detail
1259155386,379305,Untitled #17,"Tyson, Nicola b. 1960",Work on paper,https://api.collectorsystems.com/11184/objects/379305/mainimage,https://api.collectorsystems.com/11184/objects/379305/mainimage?size=detail
2296752452,379306,Untitled #3,"Tyson, Nicola b. 1960",Painting,https://api.collectorsystems.com/11184/objects/379306/mainimage,https://api.collectorsystems.com/11184/objects/379306/mainimage?size=detail
7096026374,379309,Timpano,"Usle, Juan b. 1954",Painting,https://api.collectorsystems.com/11184/objects/379309/mainimage,https://api.collectorsystems.com/11184/objects/379309/mainimage?size=detail
3993987796,379311,Joanna,"Van Lamsweerde, Inez b.1963",Photographs,https://api.collectorsystems.com/11184/objects/379311/mainimage,https://api.collectorsystems.com/11184/objects/379311/mainimage?size=detail
6883737623,379312,Alegorias,"Villalobos, Jose b. 1950",Painting,https://api.collectorsystems.com/11184/objects/379312/mainimage,https://api.collectorsystems.com/11184/objects/379312/mainimage?size=detail
0000443113,379315,Untitled (Rug Lady Formation),"Crewdson, Gregory b. 1962",Photographs,https://api.collectorsystems.com/11184/objects/379315/mainimage,https://api.collectorsystems.com/11184/objects/379315/mainimage?size=detail
0658710984,379316,Peter Norton Family Christmas Project 1994,"Simpson, Lorna",Installation,https://api.collectorsystems.com/11184/objects/379316/mainimage,https://api.collectorsystems.com/11184/objects/379316/mainimage?size=detail
2793331073,379317,Shonen Knife,"Nara, Yoshimoto b. 1959",Work on paper,https://api.collectorsystems.com/11184/objects/379317/mainimage,https://api.collectorsystems.com/11184/objects/379317/mainimage?size=detail
6439099952,379318,Untitled (#638),"Tuymans, Luc b. 1958",Work on paper,https://api.collectorsystems.com/11184/objects/379318/mainimage,https://api.collectorsystems.com/11184/objects/379318/mainimage?size=detail
8782736851,379319,Untitled (#640),"Tuymans, Luc b. 1958",Work on paper,https://api.collectorsystems.com/11184/objects/379319/mainimage,https://api.collectorsystems.com/11184/objects/379319/mainimage?size=detail
5518687159,379320,Untitled (#642),"Tuymans, Luc b. 1958",Work on paper,https://api.collectorsystems.com/11184/objects/379320/mainimage,https://api.collectorsystems.com/11184/objects/379320/mainimage?size=detail
6087142846,379321,Untitled (#646),"Tuymans, Luc b. 1958",Work on paper,https://api.collectorsystems.com/11184/objects/379321/mainimage,https://api.collectorsystems.com/11184/objects/379321/mainimage?size=detail
6198481215,379322,Untitled (#647),"Tuymans, Luc b. 1958",Work on paper,https://api.collectorsystems.com/11184/objects/379322/mainimage,https://api.collectorsystems.com/11184/objects/379322/mainimage?size=detail
3288310413,379323,Desk #3,"Raff, Orit b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379323/mainimage,https://api.collectorsystems.com/11184/objects/379323/mainimage?size=detail
4255990967,379324,Desk #5,"Raff, Orit b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379324/mainimage,https://api.collectorsystems.com/11184/objects/379324/mainimage?size=detail
4093217914,379325,Desk #7,"Raff, Orit b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379325/mainimage,https://api.collectorsystems.com/11184/objects/379325/mainimage?size=detail
2379724066,379326,Desk #8,"Raff, Orit b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379326/mainimage,https://api.collectorsystems.com/11184/objects/379326/mainimage?size=detail
3146697252,379329,Os pares,"Milhazes, Beatriz b. 1960",Painting,https://api.collectorsystems.com/11184/objects/379329/mainimage,https://api.collectorsystems.com/11184/objects/379329/mainimage?size=detail
0005777073,379330,Untitled,"Friedman, Tom b. 1965",Installation,https://api.collectorsystems.com/11184/objects/379330/mainimage,https://api.collectorsystems.com/11184/objects/379330/mainimage?size=detail
1582552256,379331,#6 Then Water Came and Quenched the Fire,"Stella, Frank b. 1936",Work on paper,https://api.collectorsystems.com/11184/objects/379331/mainimage,https://api.collectorsystems.com/11184/objects/379331/mainimage?size=detail
2129666262,379332,Etudes pour Les Constructeurs,"L�ger, Fernand 1881-1955",Painting,https://api.collectorsystems.com/11184/objects/379332/mainimage,https://api.collectorsystems.com/11184/objects/379332/mainimage?size=detail
3517698769,379333,Fold Quadrant #4,"Besemer, Linda b. 1957",Installation,https://api.collectorsystems.com/11184/objects/379333/mainimage,https://api.collectorsystems.com/11184/objects/379333/mainimage?size=detail
9173289144,379336,Carpet,"Jozefowicz, Katarzyna b. 1959",Installation,https://api.collectorsystems.com/11184/objects/379336/mainimage,https://api.collectorsystems.com/11184/objects/379336/mainimage?size=detail
8307795527,379337,Untitled (styrofoam container),"Sasnal, Wilhelm b. 1972",Painting,https://api.collectorsystems.com/11184/objects/379337/mainimage,https://api.collectorsystems.com/11184/objects/379337/mainimage?size=detail
8104177757,379338,Sala de Espera (Terrace),"Tschape, Janaina b. 1973",Photographs,https://api.collectorsystems.com/11184/objects/379338/mainimage,https://api.collectorsystems.com/11184/objects/379338/mainimage?size=detail
9830549436,379340,Sin Titulo,"Gomez, Susy b. 1964",Photographs,https://api.collectorsystems.com/11184/objects/379340/mainimage,https://api.collectorsystems.com/11184/objects/379340/mainimage?size=detail
2287881520,379342,Beach House,"Gallace, Maureen",Painting,https://api.collectorsystems.com/11184/objects/379342/mainimage,https://api.collectorsystems.com/11184/objects/379342/mainimage?size=detail
4608366326,379343,Peter Norton Family Christmas Project 2001,"Gaskell, Anna b. 1969",Installation,https://api.collectorsystems.com/11184/objects/379343/mainimage,https://api.collectorsystems.com/11184/objects/379343/mainimage?size=detail
3310776913,379345,Burn Baby Burn,"Bradford, Mark b. 1961",Painting,https://api.collectorsystems.com/11184/objects/379345/mainimage,https://api.collectorsystems.com/11184/objects/379345/mainimage?size=detail
5713067345,379346,Untitled (Shirt #31 brown),"von Hausswolff, Annika b. 1967",Photographs,https://api.collectorsystems.com/11184/objects/379346/mainimage,https://api.collectorsystems.com/11184/objects/379346/mainimage?size=detail
2077904903,379347,Untitled (Acknowledgement Painting),"Gillmore, Graham b. 1963",Painting,https://api.collectorsystems.com/11184/objects/379347/mainimage,https://api.collectorsystems.com/11184/objects/379347/mainimage?size=detail
0236359664,379348,"Blue, Green, Green, Yellow","Litzmann, Tim b. 1963",Painting,https://api.collectorsystems.com/11184/objects/379348/mainimage,https://api.collectorsystems.com/11184/objects/379348/mainimage?size=detail
